"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-01",,,"29.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-02",,,"58.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-03",,,"6.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-04",,,"33.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-05",,,"50.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-06",,,"29.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-07",,,"7.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-08",,,"3.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-09",,,"3.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-10",,,"16.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-11",,,"30.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-12",,,,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-13","    2","63.8",,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-14",,,"18.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-15",,,"10.9","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-16",,,,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-17","    2","77.5",,"0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-18",,,"2.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-19",,,"4.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-20",,,"10.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1992-09-21",,,"2.3","0.0","0.0"
