YYMMMDD,u0(m),____up(m),sig_u(m)
99AUG01,990,0.322716,0.00239
99AUG02,990,0.317849,0.002552
99AUG03,990,0.31242,0.002494
99AUG04,990,0.31451,0.002602
99AUG05,990,0.317693,0.002475
99AUG06,990,0.315812,0.002549
99AUG07,990,0.300275,0.002394
99AUG08,990,0.310474,0.002343
99AUG09,990,0.312431,0.002638
99AUG10,990,0.31423,0.002641
99AUG11,990,0.327237,0.002415
99AUG12,990,0.310056,0.002486
99AUG13,990,0.307683,0.002365
99AUG14,990,0.310891,0.002353
99AUG15,990,0.3133,0.002593
99AUG16,990,0.294228,0.002461
99AUG17,990,0.299534,0.002413
99AUG18,990,0.294108,0.002372
99AUG19,990,0.318529,0.00231
99AUG20,990,0.313451,0.002407
99AUG21,990,0.318379,0.002372
99AUG22,990,0.333093,0.002536
99AUG23,990,0.311848,0.002383
99AUG24,990,0.296724,0.002341
99AUG25,990,0.296918,0.002575
99AUG26,990,0.302274,0.002506
99AUG27,990,0.30709,0.002549
99AUG28,990,0.299629,0.002514
99AUG29,990,0.308046,0.002548
99AUG30,990,0.304565,0.002552
99AUG31,990,0.298803,0.002858
99SEP01,990,0.290271,0.002451
99SEP02,990,0.305751,0.002512
99SEP03,990,0.31208,0.00246
99SEP04,990,0.300899,0.002504
99SEP05,990,0.296083,0.002463
99SEP06,990,0.307944,0.002449
99SEP07,990,0.309225,0.002513
99SEP08,990,0.305256,0.002522
99SEP09,990,0.310058,0.002487
99SEP10,990,0.312667,0.002529
99SEP11,990,0.315988,0.002375
99SEP12,990,0.312546,0.002492
99SEP13,990,0.310024,0.002441
99SEP14,990,0.298319,0.002592
99SEP15,990,0.310435,0.002493
99SEP16,990,0.314666,0.002431
99SEP17,990,0.304591,0.002518
99SEP18,990,0.316806,0.002531
99SEP19,990,0.313772,0.002526
99SEP20,990,0.322971,0.002447
99SEP21,990,0.309562,0.002496
99SEP22,990,0.314177,0.002521
99SEP23,990,0.309578,0.002471
99SEP24,990,0.307678,0.00255
99SEP25,990,0.308077,0.002517
99SEP26,990,0.312822,0.002571
99SEP27,990,0.316791,0.002452
99SEP28,990,0.320841,0.002416
99SEP29,990,0.320343,0.002415
99SEP30,990,0.314082,0.002552
99OCT01,990,0.315369,0.002715
99OCT02,990,0.313269,0.002537
99OCT03,990,0.317348,0.002455
99OCT04,990,0.313645,0.002379
99OCT05,990,0.313854,0.002438
99OCT06,990,0.303752,0.002403
99OCT07,990,0.310811,0.002412
99OCT09,990,0.31629,0.002509
99OCT10,990,0.309544,0.002477
99OCT11,990,0.301305,0.002413
99OCT12,990,0.319865,0.002425
99OCT13,990,0.309519,0.002446
99OCT14,990,0.315091,0.002412
99OCT15,990,0.327601,0.002359
99OCT16,990,0.317309,0.002396
99OCT17,990,0.317173,0.002393
99OCT18,990,0.315024,0.00244
99OCT19,990,0.319568,0.002507
99OCT20,990,0.308388,0.002416
99OCT21,990,0.32531,0.002294
99OCT22,990,0.310807,0.002876
99OCT23,990,0.316118,0.002379
99OCT24,990,0.328159,0.002415
99OCT25,990,0.323629,0.002362
99OCT26,990,0.310028,0.002326
99OCT27,990,0.309813,0.002442
99OCT28,990,0.311742,0.002465
99OCT29,990,0.289341,0.002558
99OCT30,990,0.293227,0.002411
99OCT31,990,0.301802,0.002683
99NOV02,990,0.312572,0.002468
99NOV03,990,0.302611,0.002438
99NOV04,990,0.304398,0.002501
99NOV05,990,0.32228,0.00247
99NOV06,990,0.303551,0.002428
99NOV07,990,0.31271,0.002525
99NOV08,990,0.316734,0.002431
99NOV09,990,0.312774,0.002499
99NOV10,990,0.317182,0.002446
99NOV11,990,0.32276,0.002429
99NOV12,990,0.291414,0.002486
99NOV13,990,0.299373,0.002471
99NOV14,990,0.308481,0.002445
99NOV15,990,0.305136,0.002382
99NOV16,990,0.311013,0.002426
99NOV17,990,0.303915,0.002419
99NOV18,990,0.296947,0.002519
99NOV19,990,0.311842,0.002542
99NOV20,990,0.303041,0.002454
99NOV21,990,0.300665,0.002477
99NOV22,990,0.300272,0.002434
99NOV23,990,0.296931,0.002554
99NOV24,990,0.304412,0.002482
99NOV25,990,0.306798,0.002671
99NOV26,990,0.294657,0.002638
99NOV27,990,0.296652,0.002526
99NOV28,990,0.298621,0.002553
99NOV29,990,0.296662,0.00243
99NOV30,990,0.289426,0.002471
99DEC01,990,0.308624,0.002529
99DEC02,990,0.303579,0.00249
99DEC03,990,0.310729,0.002473
99DEC04,990,0.312576,0.002418
99DEC05,990,0.298028,0.00247
99DEC06,990,0.286247,0.002497
99DEC07,990,0.286048,0.002409
99DEC08,990,0.295164,0.002428
99DEC09,990,0.294773,0.00241
99DEC10,990,0.325132,0.002429
99DEC11,990,0.311064,0.002487
99DEC12,990,0.311722,0.002345
99DEC13,990,0.304644,0.002387
99DEC14,990,0.301677,0.002487
99DEC15,990,0.299609,0.002502
99DEC16,990,0.294197,0.002466
99DEC17,990,0.304036,0.002685
99DEC18,990,0.307284,0.002491
99DEC19,990,0.300295,0.002457
99DEC20,990,0.298046,0.002441
99DEC21,990,0.303103,0.002483
99DEC22,990,0.305503,0.002477
99DEC23,990,0.289826,0.00246
99DEC24,990,0.296454,0.002459
99DEC25,990,0.301411,0.00248
99DEC26,990,0.292459,0.002439
99DEC27,990,0.302429,0.002477
99DEC28,990,0.31327,0.002455
99DEC29,990,0.294195,0.002458
99DEC30,990,0.299398,0.002461
99DEC31,990,0.296213,0.002615
00JAN01,990,0.293379,0.002571
00JAN02,990,0.293854,0.002599
00JAN03,990,0.300677,0.002437
00JAN04,990,0.296341,0.002566
00JAN05,990,0.290324,0.002493
00JAN06,990,0.267395,0.002454
00JAN07,990,0.27159,0.002633
00JAN08,990,0.285182,0.002486
00JAN09,990,0.280145,0.002438
00JAN10,990,0.289765,0.002455
00JAN11,990,0.288995,0.002426
00JAN12,990,0.305317,0.002584
00JAN13,990,0.317638,0.00246
00JAN14,990,0.30554,0.002347
00JAN15,990,0.282891,0.002452
00JAN16,990,0.301232,0.002433
00JAN18,990,0.304017,0.003375
00JAN19,990,0.296654,0.00236
00JAN20,990,0.305363,0.002362
00JAN21,990,0.295349,0.002435
00JAN22,990,0.299306,0.002632
00JAN23,990,0.294639,0.002547
00JAN24,990,0.306561,0.002383
00JAN25,990,0.29974,0.002331
00JAN26,990,0.298309,0.002327
00JAN27,990,0.301947,0.002402
00JAN28,990,0.295083,0.002394
00JAN29,990,0.298323,0.002411
00JAN30,990,0.301529,0.002431
00JAN31,990,0.294074,0.002439
00FEB01,990,0.307327,0.00235
00FEB02,990,0.293317,0.002301
00FEB03,990,0.304963,0.002385
00FEB04,990,0.303013,0.002342
00FEB05,990,0.304197,0.002366
00FEB06,990,0.299161,0.002434
00FEB07,990,0.303278,0.002334
00FEB08,990,0.300507,0.002346
00FEB09,990,0.296229,0.002255
00FEB10,990,0.296367,0.002309
00FEB11,990,0.306731,0.002335
00FEB12,990,0.305888,0.002434
00FEB13,990,0.307689,0.002361
00FEB14,990,0.311778,0.002424
00FEB15,990,0.313118,0.002391
00FEB16,990,0.309351,0.002379
00FEB17,990,0.30943,0.002357
00FEB18,990,0.294202,0.002343
00FEB19,990,0.297914,0.002339
00FEB23,990,0.313027,0.002501
00FEB24,990,0.307185,0.002448
00FEB25,990,0.300448,0.002473
00FEB26,990,0.308039,0.002491
00FEB27,990,0.287049,0.002477
00FEB28,990,0.293637,0.002508
00FEB29,990,0.302511,0.002461
00MAR01,990,0.304367,0.002595
00MAR02,990,0.306701,0.002524
00MAR03,990,0.299292,0.002592
00MAR04,990,0.3069,0.002548
00MAR05,990,0.307661,0.002453
00MAR06,990,0.301707,0.002434
00MAR07,990,0.301717,0.002384
00MAR08,990,0.306563,0.002511
00MAR09,990,0.306861,0.002507
00MAR10,990,0.305726,0.002575
00MAR11,990,0.321039,0.002474
00MAR12,990,0.298547,0.002516
00MAR13,990,0.299452,0.002477
00MAR14,990,0.302798,0.002494
00MAR15,990,0.314428,0.002621
00MAR16,990,0.295147,0.002525
00MAR17,990,0.30318,0.002494
00MAR18,990,0.287128,0.002653
00MAR19,990,0.310289,0.002562
00MAR20,990,0.296154,0.002636
00MAR21,990,0.287883,0.00262
00MAR22,990,0.280117,0.002546
00MAR23,990,0.286938,0.002641
00MAR24,990,0.295718,0.002631
00MAR25,990,0.298889,0.002453
00MAR26,990,0.300032,0.002846
00MAR27,990,0.303893,0.002635
00MAR28,990,0.285859,0.00245
00MAR29,990,0.294235,0.002492
00MAR30,990,0.30478,0.002397
00MAR31,990,0.326077,0.00404
00APR04,990,0.288946,0.002419
00APR05,990,0.296199,0.002329
00APR06,990,0.293538,0.002398
00APR07,990,0.299648,0.002332
00APR08,990,0.296495,0.002363
00APR09,990,0.302986,0.002398
00APR10,990,0.291778,0.002438
00APR11,990,0.304474,0.002356
00APR12,990,0.308278,0.002509
00APR13,990,0.302863,0.002538
00APR14,990,0.30748,0.002507
00APR15,990,0.30507,0.002518
00APR16,990,0.300911,0.002433
00APR17,990,0.290268,0.002351
00APR18,990,0.29836,0.002408
00APR19,990,0.29641,0.002483
00APR20,990,0.298114,0.002415
00APR21,990,0.29241,0.002496
00APR22,990,0.302639,0.002452
00APR23,990,0.303422,0.002601
00APR24,990,0.298092,0.002608
00APR25,990,0.292989,0.0025
00APR26,990,0.285531,0.002492
00APR27,990,0.302515,0.00246
00APR28,990,0.301563,0.002407
00APR29,990,0.292102,0.002414
00APR30,990,0.293684,0.002403
00MAY01,990,0.302031,0.002446
00MAY03,990,0.286988,0.002608
00MAY04,990,0.287753,0.002438
00MAY05,990,0.290773,0.002438
00MAY06,990,0.301861,0.002452
00MAY07,990,0.294897,0.002425
00MAY08,990,0.302364,0.002406
00MAY09,990,0.295896,0.002481
00MAY10,990,0.283329,0.002494
00MAY11,990,0.301977,0.002493
00MAY12,990,0.296454,0.00248
00MAY13,990,0.286371,0.002468
00MAY14,990,0.294778,0.002396
00MAY15,990,0.308834,0.002406
00MAY16,990,0.300231,0.002359
00MAY17,990,0.295676,0.002366
00MAY18,990,0.304396,0.002365
00MAY19,990,0.305129,0.002433
00MAY20,990,0.278106,0.002378
00MAY21,990,0.298807,0.002444
00MAY22,990,0.299565,0.002407
00MAY23,990,0.303546,0.002587
00MAY24,990,0.298821,0.00241
00MAY25,990,0.289043,0.002489
00MAY26,990,0.287244,0.002424
00MAY27,990,0.293448,0.002461
00MAY31,990,0.30053,0.002496
00JUN01,990,0.290036,0.002363
00JUN02,990,0.300153,0.002749
00JUN03,990,0.302872,0.003185
00JUN04,990,0.28546,0.002542
00JUN05,990,0.285374,0.002547
00JUN06,990,0.285941,0.002553
00JUN07,990,0.288355,0.002623
00JUN08,990,0.283008,0.002494
00JUN09,990,0.285643,0.002482
00JUN10,990,0.289722,0.002389
00JUN11,990,0.293006,0.002467
00JUN12,990,0.289286,0.002528
00JUN13,990,0.28915,0.002458
00JUN14,990,0.29502,0.002438
00JUN15,990,0.295869,0.002443
00JUN16,990,0.287533,0.002427
00JUN17,990,0.309496,0.002504
00JUN18,990,0.290037,0.002511
00JUN19,990,0.298085,0.0028
00JUN21,990,0.291474,0.00256
00JUN22,990,0.289432,0.002589
00JUN23,990,0.289568,0.002524
00JUN24,990,0.288652,0.002485
00JUN25,990,0.299108,0.002613
00JUN26,990,0.275985,0.002614
00JUN27,990,0.289105,0.002462
00JUN28,990,0.29766,0.002432
00JUN29,990,0.290513,0.00256
00JUN30,990,0.286232,0.002539
00JUL01,990,0.293257,0.002716
00JUL02,990,0.274048,0.00269
00JUL03,990,0.276188,0.002568
00JUL04,990,0.282869,0.002635
00JUL05,990,0.290659,0.002668
00JUL06,990,0.303813,0.002655
00JUL07,990,0.281299,0.002501
00JUL08,990,0.298387,0.00259
00JUL09,990,0.280771,0.002849
00JUL10,990,0.289523,0.002708
00JUL11,990,0.291993,0.002598
00JUL12,990,0.28686,0.002579
00JUL13,990,0.289336,0.002672
00JUL14,990,0.274377,0.002502
00JUL15,990,0.299256,0.002697
00JUL16,990,0.296504,0.002537
00JUL17,990,0.293664,0.002662
00JUL18,990,0.286084,0.002604
00SEP30,990,0.279604,0.002926
00OCT01,990,0.276221,0.00265
00OCT02,990,0.280309,0.002665
00OCT03,990,0.280567,0.00267
00OCT04,990,0.268103,0.002601
00OCT05,990,0.289962,0.002954
00OCT06,990,0.284535,0.002574
00OCT07,990,0.273856,0.002544
00OCT08,990,0.267934,0.002612
00OCT09,990,0.268439,0.00271
00OCT10,990,0.261612,0.002681
00OCT11,990,0.270759,0.002481
00OCT12,990,0.269417,0.002594
00OCT13,990,0.273402,0.002507
00OCT14,990,0.26729,0.002423
00OCT15,990,0.259478,0.002523
00OCT16,990,0.264973,0.002453
00OCT17,990,0.283847,0.002513
00OCT18,990,0.283126,0.002456
00OCT19,990,0.293019,0.00269
00OCT20,990,0.267902,0.002398
00OCT21,990,0.272129,0.002394
00OCT22,990,0.282617,0.00248
00OCT23,990,0.266533,0.00249
00OCT24,990,0.273356,0.002432
00OCT25,990,0.262183,0.002439
00OCT26,990,0.268544,0.002666
00OCT27,990,0.273725,0.002543
00OCT28,990,0.274751,0.002439
00OCT29,990,0.277857,0.002431
00OCT30,990,0.275861,0.002634
00OCT31,990,0.265929,0.002619
00NOV01,990,0.265406,0.002686
00NOV02,990,0.283683,0.002601
00NOV03,990,0.265964,0.003547
00NOV04,990,0.273665,0.002659
00NOV05,990,0.27095,0.002761
00NOV07,990,0.266587,0.003279
00NOV08,990,0.274535,0.002612
00NOV09,990,0.252706,0.00252
00NOV10,990,0.262,0.002847
00NOV11,990,0.268818,0.002677
00NOV15,990,0.258463,0.002602
00NOV16,990,0.286853,0.002618
00NOV17,990,0.257554,0.002591
00NOV18,990,0.261176,0.002606
00NOV19,990,0.255956,0.002664
00NOV20,990,0.258781,0.002542
00NOV21,990,0.250632,0.002587
00NOV22,990,0.26061,0.002632
00NOV23,990,0.259697,0.002668
00NOV24,990,0.25649,0.002684
00NOV26,990,0.258605,0.002637
00NOV27,990,0.26452,0.002612
00NOV28,990,0.262351,0.0027
00NOV29,990,0.262965,0.002773
00NOV30,990,0.25726,0.002668
00DEC01,990,0.272979,0.002514
00DEC02,990,0.274647,0.002591
00DEC03,990,0.268534,0.0026
00DEC04,990,0.263368,0.002705
00DEC05,990,0.261082,0.002607
00DEC06,990,0.256111,0.002694
00DEC07,990,0.252858,0.002618
00DEC08,990,0.264177,0.002691
00DEC09,990,0.259369,0.002698
00DEC10,990,0.261377,0.002624
00DEC11,990,0.264968,0.002887
00DEC12,990,0.264609,0.002783
00DEC13,990,0.257742,0.002806
00DEC14,990,0.26642,0.002615
00DEC15,990,0.269548,0.002734
00DEC16,990,0.254677,0.002671
00DEC17,990,0.261687,0.00262
00DEC18,990,0.27176,0.002472
00DEC19,990,0.26505,0.002673
00DEC20,990,0.261434,0.002575
00DEC21,990,0.254208,0.002613
00DEC22,990,0.246858,0.00253
00DEC23,990,0.255032,0.002553
00DEC24,990,0.261858,0.002524
00DEC25,990,0.264476,0.002483
00DEC27,990,0.261795,0.00319
00DEC28,990,0.266552,0.002708
00DEC29,990,0.263037,0.00259
00DEC30,990,0.257854,0.002631
00DEC31,990,0.266017,0.00256
1-Jan-01,990,0.25917,0.002653
1-Jan-02,990,0.269659,0.002595
1-Jan-03,990,0.266951,0.002655
1-Jan-04,990,0.266808,0.002567
1-Jan-05,990,0.265933,0.002499
1-Jan-06,990,0.260515,0.00251
1-Jan-07,990,0.266238,0.002397
1-Jan-08,990,0.26337,0.00239
1-Jan-09,990,0.262222,0.002473
1-Jan-10,990,0.267209,0.002492
1-Jan-11,990,0.266619,0.002435
1-Jan-12,990,0.273316,0.002463
1-Jan-13,990,0.270607,0.002503
1-Jan-14,990,0.269565,0.002481
1-Jan-15,990,0.264876,0.002415
1-Jan-16,990,0.268743,0.002445
1-Jan-18,990,0.264118,0.002584
1-Jan-19,990,0.275698,0.00277
1-Jan-20,990,0.265392,0.002629
1-Jan-21,990,0.272291,0.00258
1-Jan-22,990,0.250464,0.002928
1-Jan-23,990,0.267754,0.002715
1-Jan-24,990,0.267676,0.002487
1-Jan-25,990,0.263316,0.002445
1-Jan-26,990,0.26515,0.002457
1-Jan-27,990,0.273112,0.00244
1-Jan-28,990,0.2707,0.002494
1-Jan-29,990,0.264615,0.00264
1-Jan-30,990,0.264007,0.002399
1-Jan-31,990,0.270692,0.002574
1-Feb-01,990,0.264448,0.002368
1-Feb-02,990,0.271415,0.002514
1-Feb-03,990,0.269846,0.002474
1-Feb-04,990,0.269944,0.002461
1-Feb-05,990,0.275851,0.002461
1-Feb-06,990,0.273729,0.002443
1-Feb-07,990,0.272085,0.002408
1-Feb-08,990,0.282689,0.00251
1-Feb-09,990,0.271532,0.002513
1-Feb-10,990,0.267523,0.00243
1-Feb-11,990,0.275515,0.002522
1-Feb-12,990,0.269213,0.002507
1-Feb-13,990,0.273838,0.002385
1-Feb-14,990,0.260179,0.002351
1-Feb-21,990,0.270505,0.002481
1-Feb-22,990,0.26843,0.002463
1-Feb-23,990,0.279877,0.00258
1-Feb-24,990,0.263431,0.002569
1-Feb-25,990,0.27473,0.002608
1-Feb-26,990,0.266043,0.002642
1-Feb-27,990,0.267603,0.002568
1-Feb-28,990,0.253946,0.002581
1-Mar-01,990,0.260878,0.002572
1-Mar-02,990,0.262409,0.002734
1-Mar-03,990,0.255857,0.002643
1-Mar-04,990,0.256425,0.002751
1-Mar-05,990,0.260402,0.002639
1-Mar-06,990,0.266228,0.002536
1-Mar-07,990,0.267548,0.002481
1-Mar-08,990,0.258355,0.00255
1-Mar-09,990,0.25608,0.002643
1-Mar-10,990,0.25977,0.002604
1-Mar-11,990,0.24879,0.002588
1-Mar-12,990,0.248645,0.002539
1-Mar-13,990,0.268095,0.002449
1-Mar-14,990,0.271449,0.00243
1-Mar-15,990,0.260509,0.002375
1-Mar-16,990,0.263518,0.002416
1-Mar-17,990,0.261441,0.002595
1-Mar-18,990,0.265646,0.002405
1-Mar-19,990,0.268561,0.002424
1-Mar-20,990,0.275082,0.002484
1-Mar-21,990,0.268733,0.002423
1-Mar-22,990,0.273335,0.002365
1-Mar-23,990,0.265087,0.002393
1-Mar-24,990,0.265181,0.002356
1-Mar-25,990,0.268781,0.002444
1-Mar-26,990,0.268754,0.00254
1-Mar-27,990,0.2755,0.002543
1-Mar-28,990,0.266575,0.002565
1-Mar-29,990,0.268937,0.002407
1-Mar-30,990,0.270772,0.0025
1-Mar-31,990,0.268761,0.002889
1-Apr-01,990,0.270718,0.002527
1-Apr-02,990,0.254904,0.002471
1-Apr-03,990,0.262656,0.002544
1-Apr-04,990,0.252982,0.002383
1-Apr-05,990,0.257022,0.002688
1-Apr-06,990,0.259481,0.002559
1-Apr-07,990,0.272554,0.00251
1-Apr-08,990,0.259774,0.002555
1-Apr-09,990,0.256702,0.002573
1-Apr-10,990,0.258906,0.002597
1-Apr-11,990,0.256301,0.002457
