YYMMMDD,u0(m),____up(m),sig_u(m)
99MAY30,783,0.021794,0.002255
99JUN19,783,0.001459,0.002494
99JUN20,783,-0.004045,0.002423
99JUN21,783,0.001672,0.002494
99JUN22,783,0.006876,0.002541
99JUN23,783,-0.015521,0.002542
99JUN24,783,-0.014212,0.003179
99JUN25,783,-0.009216,0.00258
99JUN26,783,0.002445,0.002612
99JUN27,783,-0.000906,0.002484
99JUN28,783,0.009971,0.00247
99JUN29,783,0.004105,0.002561
99JUN30,783,-0.00283,0.002537
99JUL01,783,0.014979,0.002733
99JUL02,783,0.007536,0.00258
99JUL03,783,0.003645,0.002629
99JUL04,783,0.007627,0.002654
99JUL05,783,0.008924,0.00255
99JUL06,783,0.01092,0.002376
99JUL07,783,0.01172,0.002659
99JUL08,783,0.006098,0.002521
99JUL09,783,-0.002566,0.002493
99JUL10,783,0.001969,0.002513
99JUL11,783,-0.001406,0.002581
99JUL12,783,-0.011091,0.002556
99JUL13,783,-0.015873,0.002425
99JUL14,783,-0.007271,0.002641
99JUL15,783,0.005721,0.002429
99JUL16,783,0.006446,0.002425
99JUL17,783,0.012444,0.002398
99JUL18,783,-0.004856,0.00237
99JUL19,783,0.013416,0.002506
99JUL20,783,0.003248,0.002369
99JUL21,783,0.002214,0.002314
99JUL22,783,-0.008375,0.002408
99JUL23,783,-0.003523,0.0023
99JUL24,783,0.004276,0.002444
99JUL25,783,0.010414,0.002281
99JUL26,783,-0.001185,0.002561
99JUL27,783,0.001435,0.002411
99JUL28,783,-0.008674,0.002359
99JUL29,783,0.004903,0.002409
99JUL30,783,0.004121,0.002512
99JUL31,783,0.007814,0.002323
99AUG01,783,0.015866,0.002316
99AUG02,783,0.015201,0.002343
99AUG03,783,0.01182,0.002372
99AUG04,783,0.015005,0.00247
99AUG05,783,0.016326,0.002374
99AUG06,783,0.008223,0.002604
99AUG07,783,0.006916,0.002391
99AUG08,783,0.00341,0.002261
99AUG09,783,0.0123,0.002554
99AUG10,783,0.012164,0.002433
99AUG11,783,0.013288,0.002406
99AUG12,783,0.005554,0.002361
99AUG13,783,0.010807,0.002354
99AUG14,783,-0.006014,0.002372
99AUG15,783,-0.000947,0.002418
99AUG16,783,0.001719,0.002381
99AUG17,783,-0.00421,0.002359
99AUG18,783,-0.004915,0.00231
99AUG19,783,0.011494,0.00225
99AUG20,783,0.01588,0.002314
99AUG21,783,0.017148,0.002244
99AUG22,783,-0.011753,0.002348
99AUG23,783,0.013665,0.002261
99AUG24,783,0.001204,0.002366
99AUG25,783,0.00117,0.00247
99AUG26,783,-0.003137,0.002489
99AUG27,783,0.01028,0.00251
99AUG28,783,-0.004065,0.002499
99AUG29,783,0.012527,0.002521
99AUG30,783,0.008022,0.002536
99AUG31,783,0.002676,0.002692
99SEP01,783,0.016198,0.002403
99SEP02,783,0.005435,0.002439
99SEP03,783,0.01559,0.002428
99SEP04,783,0.000812,0.002545
99SEP05,783,0.003188,0.002448
99SEP06,783,-0.000741,0.002412
99SEP07,783,0.004438,0.002602
99SEP08,783,0.012963,0.002509
99SEP09,783,0.013362,0.002504
99SEP10,783,0.013785,0.002525
99SEP11,783,0.017779,0.002388
99SEP12,783,0.007284,0.00236
99SEP13,783,0.017142,0.002398
99SEP14,783,0.002111,0.002431
99SEP15,783,0.009644,0.002361
99SEP16,783,0.013193,0.002375
99SEP17,783,0.011384,0.002429
99SEP18,783,0.010758,0.002437
99SEP19,783,0.021948,0.002489
99SEP20,783,0.023295,0.002475
99SEP21,783,0.01253,0.002401
99SEP22,783,0.020926,0.002434
99SEP23,783,0.003967,0.002439
99SEP24,783,0.013402,0.002601
99SEP25,783,0.024589,0.002667
99SEP26,783,0.014457,0.002541
99SEP27,783,0.019085,0.002375
99SEP28,783,0.016079,0.002529
99SEP29,783,0.018821,0.002486
99SEP30,783,0.018495,0.002556
99OCT01,783,0.02509,0.002691
99OCT02,783,0.018449,0.002593
99OCT03,783,0.030204,0.002459
