#Site   lat/deg     lon/deg    Nvel/cm    Nerr/cm   Evel/cm   Nerr/cm   Uvel/cm   Uerr/cm
AHUP    19.37910  -155.26610     -0.86      0.08     -0.31      0.08     -1.17      0.32
APNT    19.26440  -155.20200     -0.26      0.07     -0.96      0.08      2.92      0.29
BYRL    19.41200  -155.25999      1.22      0.07     -0.01      0.08     -1.67      0.31
CRIM    19.39530  -155.27380     -1.39      0.07      0.37      0.08     -1.12      0.30
GOPM    19.32230  -155.22240     -0.19      0.07     -0.55      0.08     -3.06      0.29
HLNA    19.29330  -155.31020     -0.12      0.07     -0.70      0.07     -1.38      0.28
HOLE    19.31490  -155.12849      0.57      0.07     -1.17      0.08     -0.82      0.30
JCUZ    19.38410  -155.10159      0.27      0.07     -0.44      0.08     -0.38      0.30
KAEP    19.28090  -155.12140      0.24      0.07     -0.81      0.08      0.60      0.29
KAMO    19.39470  -155.12199      0.75      0.07     -0.84      0.08     -1.08      0.29
KAON    19.27790  -155.28239      0.83      0.07     -1.03      0.07     -2.85      0.28
KEAW    19.28500  -155.23030      1.48      0.07     -1.33      0.07     -3.56      0.28
KOSM    19.36330  -155.31650      0.44      0.07     -1.08      0.08     -2.04      0.30
KTPM    19.34130  -155.16010     -0.03      0.07     -0.84      0.08     -1.96      0.30
MANE    19.33910  -155.27330     -0.64      0.07     -0.72      0.08     -0.44      0.30
MKAI    19.35560  -155.17560      0.12      0.07     -0.70      0.08     -1.33      0.28
MLPR    19.49340  -155.38330      0.33      0.07     -0.85      0.08     -0.71      0.29
MMAU    19.37380  -155.17810      0.15      0.07     -1.06      0.08     -1.27      0.29
NPIT    19.41230  -155.28101      2.71      0.07     -1.25      0.08      0.71      0.30
NPOC    19.39300  -155.10960      1.02      0.07     -1.12      0.08     -0.69      0.31
NUPM    19.38470  -155.17529      0.48      0.07     -0.94      0.07     -1.46      0.28
OUTL    19.38690  -155.28081     -1.12      0.07     -0.82      0.08     -0.42      0.29
PG2R    19.32320  -155.19420     -0.11      0.07     -0.44      0.08     -3.21      0.30
PUOC    19.39030  -155.10640     10.03      0.34     -4.44      0.81     -2.20      0.77
UWEV    19.42090  -155.29111      2.06      0.07     -1.95      0.08     -1.02      0.29
