YYMMMDD,u0(m),____up(m),sig_u(m)
99MAY30,1104,0.841978,0.002376
99JUN19,1104,0.839563,0.002579
99JUN20,1104,0.828737,0.002555
99JUN21,1104,0.829755,0.002654
99JUN22,1104,0.824154,0.002624
99JUN23,1104,0.826645,0.002627
99JUN24,1104,0.82116,0.003273
99JUN25,1104,0.83574,0.00263
99JUN26,1104,0.824927,0.00266
99JUN27,1104,0.831348,0.002579
99JUN28,1104,0.824557,0.002598
99JUN29,1104,0.825809,0.002739
99JUN30,1104,0.825514,0.002601
99JUL01,1104,0.826696,0.002737
99JUL02,1104,0.819116,0.002773
99JUL03,1104,0.827119,0.002705
99JUL04,1104,0.845658,0.002736
99JUL05,1104,0.832315,0.002683
99JUL06,1104,0.839094,0.002476
99JUL07,1104,0.827273,0.002728
99JUL08,1104,0.815038,0.002662
99JUL09,1104,0.823564,0.002531
99JUL10,1104,0.828178,0.002707
99JUL11,1104,0.848177,0.002537
99JUL12,1104,0.824713,0.002588
99JUL13,1104,0.830756,0.002519
99JUL14,1104,0.818156,0.003011
99JUL15,1104,0.821925,0.002486
99JUL16,1104,0.822297,0.002467
99JUL17,1104,0.816237,0.002422
99JUL18,1104,0.825771,0.002412
99JUL19,1104,0.817894,0.002586
99JUL20,1104,0.829494,0.002469
99JUL21,1104,0.827447,0.002417
99JUL22,1104,0.825092,0.002432
99JUL23,1104,0.819574,0.002433
99JUL24,1104,0.809569,0.002504
99JUL25,1104,0.833885,0.002467
99JUL26,1104,0.817824,0.002606
99JUL27,1104,0.820616,0.00253
99JUL28,1104,0.822093,0.002456
99JUL29,1104,0.816021,0.002571
99JUL30,1104,0.823667,0.002682
99JUL31,1104,0.835379,0.002411
99AUG01,1104,0.828094,0.002362
99AUG02,1104,0.828312,0.002577
99AUG03,1104,0.826617,0.002542
99AUG04,1104,0.82228,0.002513
99AUG05,1104,0.83432,0.002597
99AUG06,1104,0.820527,0.002634
99AUG07,1104,0.820294,0.002469
99AUG08,1104,0.817067,0.002429
99AUG09,1104,0.827022,0.0026
99AUG10,1104,0.813537,0.002601
99AUG11,1104,0.826028,0.002564
99AUG12,1104,0.814829,0.002484
99AUG13,1104,0.828137,0.002377
99AUG14,1104,0.810043,0.002432
99AUG15,1104,0.818259,0.002484
99AUG16,1104,0.817421,0.002466
99AUG18,1104,0.819007,0.002381
99AUG19,1104,0.824897,0.002428
99AUG20,1104,0.818895,0.003028
99AUG21,1104,0.815558,0.00241
99AUG22,1104,0.811395,0.002635
99AUG23,1104,0.823352,0.002407
99AUG24,1104,0.814283,0.002428
99AUG25,1104,0.814674,0.002498
99AUG26,1104,0.800424,0.002489
99AUG27,1104,0.816212,0.002578
99AUG28,1104,0.804536,0.002583
99AUG29,1104,0.808164,0.002607
99AUG30,1104,0.817325,0.002513
99AUG31,1104,0.809566,0.002764
99SEP01,1104,0.811129,0.002496
99SEP02,1104,0.813623,0.00257
99SEP03,1104,0.82439,0.002516
99SEP04,1104,0.81076,0.002557
99SEP05,1104,0.815627,0.002472
99SEP06,1104,0.814739,0.002484
99SEP07,1104,0.824223,0.002592
99SEP08,1104,0.808282,0.002631
99SEP09,1104,0.824469,0.002483
99SEP10,1104,0.831368,0.002527
99SEP11,1104,0.824488,0.002428
99SEP12,1104,0.820194,0.002518
99SEP13,1104,0.821464,0.002618
99SEP14,1104,0.813296,0.002566
99SEP15,1104,0.815865,0.002436
99SEP16,1104,0.81835,0.002454
99SEP17,1104,0.809364,0.002568
99SEP18,1104,0.814908,0.002508
99SEP19,1104,0.819023,0.002487
99SEP20,1104,0.822937,0.002514
99SEP21,1104,0.813139,0.002527
99SEP22,1104,0.820756,0.002503
99SEP23,1104,0.798707,0.002566
99SEP24,1104,0.81884,0.00254
99SEP25,1104,0.813,0.002608
99SEP26,1104,0.815185,0.002556
99SEP27,1104,0.817848,0.002414
99SEP28,1104,0.829736,0.00254
99SEP29,1104,0.835643,0.002546
99SEP30,1104,0.815805,0.002586
99OCT01,1104,0.820157,0.00271
99OCT02,1104,0.821083,0.002621
99OCT03,1104,0.826944,0.0025
99OCT05,1104,0.829839,0.002487
99OCT06,1104,0.820559,0.002459
99OCT07,1104,0.820663,0.002436
99OCT08,1104,0.824522,0.002494
99OCT09,1104,0.814277,0.002492
99OCT10,1104,0.823095,0.002486
99OCT11,1104,0.828236,0.002494
99OCT12,1104,0.824556,0.002453
99OCT13,1104,0.82054,0.002454
99OCT14,1104,0.82584,0.002467
99OCT15,1104,0.835168,0.002487
99OCT16,1104,0.833643,0.00244
99OCT17,1104,0.826372,0.00255
99OCT18,1104,0.822508,0.00249
99OCT19,1104,0.826854,0.00251
99OCT21,1104,0.825137,0.002527
99OCT22,1104,0.820734,0.002954
99OCT23,1104,0.826733,0.002393
99OCT24,1104,0.83371,0.002413
99OCT25,1104,0.822912,0.002435
99OCT26,1104,0.814863,0.002326
99OCT27,1104,0.820166,0.002445
99OCT28,1104,0.814581,0.002533
99OCT29,1104,0.801798,0.002523
99OCT30,1104,0.803552,0.002454
99OCT31,1104,0.811969,0.002725
99NOV02,1104,0.816752,0.002563
99NOV03,1104,0.811507,0.002513
99NOV04,1104,0.814872,0.002548
99NOV05,1104,0.80714,0.002478
99NOV06,1104,0.807946,0.002471
99NOV07,1104,0.824391,0.002586
99NOV08,1104,0.820418,0.002443
99NOV09,1104,0.815742,0.002528
99NOV10,1104,0.819204,0.002463
99NOV11,1104,0.812171,0.002486
99NOV12,1104,0.810335,0.00256
99NOV13,1104,0.806082,0.002553
99NOV14,1104,0.81053,0.002486
99NOV15,1104,0.813664,0.002558
99NOV16,1104,0.81717,0.002492
99NOV17,1104,0.813466,0.002556
99NOV18,1104,0.803153,0.002523
99NOV19,1104,0.823506,0.002489
99NOV20,1104,0.81121,0.002489
99NOV21,1104,0.811184,0.002534
99NOV22,1104,0.810279,0.002521
99NOV23,1104,0.808394,0.002783
99NOV24,1104,0.814005,0.002619
99NOV25,1104,0.802277,0.002732
99NOV26,1104,0.815876,0.002671
99NOV27,1104,0.809957,0.002648
99NOV28,1104,0.812694,0.00265
99NOV29,1104,0.815787,0.00249
99NOV30,1104,0.789613,0.002484
99DEC01,1104,0.812472,0.002505
99DEC02,1104,0.817272,0.002556
99DEC03,1104,0.816511,0.002459
99DEC04,1104,0.82303,0.002579
99DEC05,1104,0.81366,0.00258
99DEC06,1104,0.806249,0.002565
99DEC07,1104,0.801819,0.002464
99DEC08,1104,0.801929,0.002573
99DEC09,1104,0.80591,0.002514
99DEC10,1104,0.830198,0.002544
99DEC11,1104,0.81734,0.002506
99DEC12,1104,0.815685,0.002555
99DEC13,1104,0.812387,0.002468
99DEC14,1104,0.80801,0.002587
99DEC15,1104,0.802003,0.00267
99DEC16,1104,0.807643,0.002675
99DEC17,1104,0.812644,0.002624
99DEC18,1104,0.811237,0.002511
99DEC19,1104,0.812978,0.00265
99DEC20,1104,0.804826,0.002555
99DEC21,1104,0.809335,0.002616
99DEC22,1104,0.806125,0.002535
99DEC23,1104,0.797704,0.002448
99DEC24,1104,0.800605,0.002541
99DEC25,1104,0.80524,0.002529
99DEC26,1104,0.795532,0.002558
99DEC27,1104,0.807001,0.002501
99DEC28,1104,0.812316,0.002622
99DEC29,1104,0.798808,0.002513
99DEC30,1104,0.802784,0.002546
99DEC31,1104,0.801853,0.00257
00JAN01,1104,0.792935,0.002658
00JAN02,1104,0.804337,0.002605
00JAN03,1104,0.79348,0.002468
00JAN04,1104,0.802499,0.002569
00JAN05,1104,0.812122,0.002548
00JAN06,1104,0.791737,0.002503
00JAN07,1104,0.77919,0.002668
00JAN08,1104,0.795144,0.002494
00JAN09,1104,0.796289,0.002523
00JAN10,1104,0.804153,0.00248
00JAN11,1104,0.795137,0.002486
00JAN12,1104,0.808356,0.002615
00JAN13,1104,0.818561,0.002447
00JAN14,1104,0.805061,0.00249
00JAN15,1104,0.79318,0.002475
00JAN16,1104,0.810769,0.002539
00JAN17,1104,0.792152,0.002566
00JAN18,1104,0.799508,0.002498
00JAN19,1104,0.804322,0.002497
00JAN20,1104,0.809225,0.002491
00JAN21,1104,0.810474,0.002553
00JAN22,1104,0.802301,0.00267
00JAN23,1104,0.795963,0.002754
00JAN24,1104,0.807357,0.002452
00JAN25,1104,0.802348,0.002495
00JAN26,1104,0.80983,0.002395
00JAN27,1104,0.796231,0.002411
00JAN28,1104,0.798844,0.002481
00JAN29,1104,0.813047,0.002491
00JAN30,1104,0.8107,0.002568
00JAN31,1104,0.802426,0.002457
00FEB01,1104,0.806111,0.002437
00FEB02,1104,0.805888,0.002449
00FEB03,1104,0.803661,0.002638
00FEB04,1104,0.800785,0.002429
00FEB05,1104,0.810592,0.002373
00FEB06,1104,0.796637,0.00249
00FEB07,1104,0.810482,0.002484
00FEB08,1104,0.797818,0.002403
00FEB09,1104,0.799076,0.002465
00FEB10,1104,0.804625,0.002411
00FEB11,1104,0.807893,0.002362
