YYMMMDD,u0(m),____up(m),sig_u(m)
8-Jun-06,1147,0.556168,0.002016
8-Jun-07,1147,0.559849,0.002071
8-Jun-08,1147,0.559509,0.002075
8-Jun-09,1147,0.55835,0.002059
8-Jun-10,1147,0.552964,0.001965
8-Jun-11,1147,0.550173,0.001938
8-Jun-12,1147,0.545086,0.001942
8-Jun-13,1147,0.55324,0.001939
8-Jun-14,1147,0.561906,0.001993
8-Jun-15,1147,0.548965,0.001962
8-Jun-16,1147,0.53896,0.001955
8-Jun-17,1147,0.555742,0.001919
8-Jun-18,1147,0.537388,0.001901
8-Jun-19,1147,0.545255,0.001901
8-Jun-20,1147,0.536428,0.001906
8-Jun-21,1147,0.551732,0.001954
8-Jun-22,1147,0.541044,0.001946
8-Jun-23,1147,0.560594,0.001894
8-Jun-24,1147,0.565512,0.00195
8-Jun-25,1147,0.555338,0.001956
8-Jun-26,1147,0.553923,0.001941
8-Jun-27,1147,0.572143,0.001988
8-Jun-28,1147,0.556524,0.001917
8-Jun-29,1147,0.547362,0.001961
8-Jun-30,1147,0.554757,0.001923
8-Jul-01,1147,0.551561,0.00193
8-Jul-02,1147,0.558781,0.001944
8-Jul-04,1147,0.538773,0.00197
8-Jul-05,1147,0.546828,0.001978
8-Jul-06,1147,0.553648,0.001955
8-Jul-07,1147,0.536603,0.001945
8-Jul-08,1147,0.531997,0.001998
8-Jul-09,1147,0.544606,0.001932
8-Jul-10,1147,0.534319,0.001997
8-Jul-11,1147,0.544577,0.001996
8-Jul-12,1147,0.540985,0.001926
8-Jul-13,1147,0.544594,0.001897
8-Jul-14,1147,0.536352,0.001924
8-Jul-15,1147,0.528773,0.001959
8-Jul-16,1147,0.538296,0.001892
8-Jul-17,1147,0.524928,0.001918
8-Jul-18,1147,0.521795,0.001964
8-Jul-19,1147,0.523497,0.001971
8-Jul-20,1147,0.534419,0.001899
8-Jul-21,1147,0.526045,0.001913
8-Jul-22,1147,0.514129,0.001942
8-Jul-23,1147,0.519715,0.002058
8-Jul-24,1147,0.491725,0.001939
8-Jul-25,1147,0.529973,0.001958
8-Jul-26,1147,0.505549,0.001997
8-Jul-27,1147,0.517731,0.001932
8-Jul-28,1147,0.516872,0.002022
8-Jul-29,1147,0.491304,0.002008
8-Jul-30,1147,0.513431,0.001938
8-Jul-31,1147,0.516419,0.001913
8-Aug-01,1147,0.526829,0.001951
8-Aug-02,1147,0.526597,0.001971
8-Aug-03,1147,0.52404,0.001978
8-Aug-04,1147,0.509984,0.001908
8-Aug-05,1147,0.517779,0.001933
8-Aug-06,1147,0.509007,0.001981
8-Aug-07,1147,0.510187,0.002074
8-Aug-08,1147,0.491083,0.002097
8-Aug-09,1147,0.499648,0.001934
8-Aug-10,1147,0.511038,0.001989
8-Aug-11,1147,0.481729,0.001941
8-Aug-12,1147,0.50402,0.001952
8-Aug-13,1147,0.513722,0.001952
8-Aug-14,1147,0.502725,0.001942
8-Aug-15,1147,0.493133,0.002033
8-Aug-16,1147,0.50271,0.001994
8-Aug-17,1147,0.504913,0.001966
8-Aug-18,1147,0.503833,0.002002
8-Aug-19,1147,0.501038,0.002006
8-Aug-20,1147,0.498607,0.001979
8-Aug-21,1147,0.503488,0.001996
8-Aug-22,1147,0.500718,0.002007
8-Aug-23,1147,0.496783,0.001961
8-Aug-24,1147,0.500259,0.00199
8-Aug-25,1147,0.488149,0.001932
8-Aug-26,1147,0.502022,0.002027
8-Aug-27,1147,0.501702,0.001977
8-Aug-28,1147,0.504609,0.002049
8-Aug-29,1147,0.502981,0.001994
8-Aug-30,1147,0.503599,0.001983
8-Aug-31,1147,0.50505,0.001976
8-Sep-01,1147,0.496444,0.002063
8-Sep-02,1147,0.49518,0.002028
8-Sep-03,1147,0.499562,0.002064
8-Sep-04,1147,0.499863,0.001996
8-Sep-05,1147,0.500044,0.002043
8-Sep-06,1147,0.497713,0.001997
8-Sep-07,1147,0.487111,0.001993
8-Sep-08,1147,0.486206,0.001998
8-Sep-09,1147,0.487604,0.002074
8-Sep-10,1147,0.498081,0.002103
8-Sep-11,1147,0.48415,0.002048
8-Sep-12,1147,0.497704,0.001981
8-Sep-13,1147,0.485742,0.001999
8-Sep-14,1147,0.491679,0.00197
8-Sep-15,1147,0.486595,0.002017
8-Sep-16,1147,0.488396,0.002187
8-Sep-17,1147,0.489573,0.00209
8-Sep-18,1147,0.501223,0.001974
8-Sep-19,1147,0.495514,0.001976
8-Sep-20,1147,0.494666,0.002002
8-Sep-21,1147,0.491769,0.001937
8-Sep-22,1147,0.487687,0.001988
8-Sep-23,1147,0.48665,0.001966
8-Sep-24,1147,0.49334,0.001994
8-Sep-25,1147,0.490629,0.001977
8-Sep-26,1147,0.478995,0.001955
8-Sep-27,1147,0.504213,0.002023
8-Sep-28,1147,0.505194,0.001932
8-Sep-29,1147,0.500599,0.00195
8-Sep-30,1147,0.485645,0.001963
8-Oct-01,1147,0.486496,0.001965
8-Oct-02,1147,0.487506,0.002043
8-Oct-03,1147,0.470916,0.001992
8-Oct-04,1147,0.480596,0.001969
8-Oct-05,1147,0.485675,0.001936
8-Oct-06,1147,0.489224,0.002
8-Oct-07,1147,0.48875,0.001994
8-Oct-08,1147,0.501243,0.001995
8-Oct-09,1147,0.49315,0.001989
8-Oct-10,1147,0.484244,0.001955
8-Oct-11,1147,0.482789,0.001978
8-Oct-12,1147,0.481296,0.001927
8-Oct-13,1147,0.489492,0.001936
8-Oct-14,1147,0.489262,0.001978
8-Oct-15,1147,0.480176,0.00193
8-Oct-16,1147,0.482722,0.001966
8-Oct-17,1147,0.473653,0.00192
8-Oct-18,1147,0.476585,0.001929
8-Oct-19,1147,0.481497,0.001918
8-Oct-20,1147,0.481981,0.001904
8-Oct-21,1147,0.483711,0.001906
8-Oct-22,1147,0.476178,0.001939
8-Oct-23,1147,0.485518,0.001936
8-Oct-24,1147,0.486885,0.001967
8-Oct-25,1147,0.495974,0.001937
8-Oct-26,1147,0.481954,0.001907
8-Oct-27,1147,0.482925,0.001888
8-Oct-28,1147,0.482937,0.001963
8-Oct-29,1147,0.490589,0.001981
8-Oct-30,1147,0.489611,0.001982
8-Oct-31,1147,0.486733,0.001924
8-Nov-01,1147,0.489099,0.001945
8-Nov-02,1147,0.482139,0.00192
8-Nov-03,1147,0.473794,0.00198
8-Nov-04,1147,0.482814,0.001973
8-Nov-05,1147,0.482231,0.00198
8-Nov-06,1147,0.480001,0.001952
8-Nov-07,1147,0.48256,0.001975
8-Nov-08,1147,0.475189,0.001995
8-Nov-09,1147,0.479092,0.001978
8-Nov-10,1147,0.46778,0.001954
8-Nov-11,1147,0.466065,0.001966
8-Nov-12,1147,0.472076,0.001948
8-Nov-13,1147,0.501117,0.00198
8-Nov-14,1147,0.458046,0.002091
8-Nov-15,1147,0.468744,0.001993
8-Nov-16,1147,0.476414,0.001971
8-Nov-17,1147,0.478296,0.001941
8-Nov-18,1147,0.452568,0.00197
8-Nov-19,1147,0.490228,0.002057
8-Nov-20,1147,0.483197,0.001961
8-Nov-21,1147,0.482314,0.002002
8-Nov-22,1147,0.473512,0.00193
8-Nov-23,1147,0.470192,0.001961
8-Nov-24,1147,0.476986,0.001991
8-Nov-25,1147,0.477805,0.001912
8-Nov-26,1147,0.46339,0.001951
8-Nov-27,1147,0.472764,0.001976
8-Nov-28,1147,0.466772,0.001924
8-Nov-29,1147,0.461674,0.001995
8-Nov-30,1147,0.460133,0.001983
8-Dec-01,1147,0.456055,0.001958
8-Dec-02,1147,0.463174,0.001953
8-Dec-03,1147,0.472127,0.002021
8-Dec-04,1147,0.469166,0.001979
8-Dec-05,1147,0.460437,0.001963
8-Dec-06,1147,0.4738,0.002001
8-Dec-07,1147,0.466413,0.002006
8-Dec-08,1147,0.461569,0.002005
8-Dec-09,1147,0.464597,0.00196
8-Dec-10,1147,0.463641,0.001984
8-Dec-11,1147,0.456455,0.00195
8-Dec-12,1147,0.469975,0.001942
8-Dec-13,1147,0.46425,0.001928
8-Dec-14,1147,0.456866,0.001932
8-Dec-15,1147,0.445545,0.001924
8-Dec-16,1147,0.463287,0.001933
8-Dec-17,1147,0.469125,0.001987
8-Dec-18,1147,0.462593,0.001926
8-Dec-19,1147,0.45623,0.001985
8-Dec-20,1147,0.459591,0.001927
8-Dec-21,1147,0.458914,0.001939
8-Dec-22,1147,0.466692,0.001919
8-Dec-23,1147,0.458422,0.001946
8-Dec-24,1147,0.458596,0.001938
8-Dec-25,1147,0.455311,0.001972
8-Dec-26,1147,0.468058,0.00193
8-Dec-27,1147,0.45931,0.001944
8-Dec-28,1147,0.447851,0.001928
8-Dec-29,1147,0.445555,0.001942
8-Dec-30,1147,0.463184,0.001983
8-Dec-31,1147,0.454349,0.001971
9-Jan-01,1147,0.439932,0.001941
9-Jan-02,1147,0.45777,0.002034
9-Jan-03,1147,0.461563,0.001916
9-Jan-04,1147,0.450414,0.001904
9-Jan-05,1147,0.45292,0.001945
9-Jan-06,1147,0.448221,0.001967
9-Jan-07,1147,0.451409,0.001942
9-Jan-08,1147,0.445716,0.001955
9-Jan-09,1147,0.452766,0.001965
9-Jan-10,1147,0.450383,0.001907
9-Jan-11,1147,0.440981,0.001929
9-Jan-12,1147,0.448453,0.001933
9-Jan-13,1147,0.455719,0.001923
9-Jan-14,1147,0.443916,0.001928
9-Jan-15,1147,0.448295,0.001944
9-Jan-16,1147,0.461406,0.001973
9-Jan-17,1147,0.460359,0.002046
9-Jan-18,1147,0.452103,0.001936
9-Jan-19,1147,0.452779,0.001892
9-Jan-20,1147,0.447873,0.001943
9-Jan-21,1147,0.447741,0.001941
9-Jan-22,1147,0.453233,0.00197
9-Jan-23,1147,0.445509,0.00195
9-Jan-24,1147,0.453003,0.001965
9-Jan-25,1147,0.440169,0.00198
9-Jan-26,1147,0.443702,0.002007
9-Jan-27,1147,0.436045,0.001933
9-Jan-28,1147,0.441805,0.001933
9-Jan-29,1147,0.433485,0.001952
9-Jan-30,1147,0.433298,0.001957
9-Jan-31,1147,0.43919,0.001953
9-Feb-01,1147,0.440428,0.001961
9-Feb-02,1147,0.438567,0.001966
9-Feb-03,1147,0.425217,0.001977
9-Feb-04,1147,0.434758,0.001902
9-Feb-05,1147,0.444092,0.001952
9-Feb-06,1147,0.443676,0.001882
9-Feb-07,1147,0.432945,0.001937
9-Feb-08,1147,0.434537,0.001959
9-Feb-09,1147,0.438582,0.001959
9-Feb-10,1147,0.434085,0.001955
9-Feb-11,1147,0.43742,0.002002
9-Feb-12,1147,0.438696,0.00208
9-Feb-13,1147,0.426312,0.002013
9-Feb-14,1147,0.436712,0.001934
9-Feb-15,1147,0.433838,0.002021
9-Feb-16,1147,0.442747,0.001996
9-Feb-17,1147,0.447466,0.001966
9-Feb-18,1147,0.426067,0.001986
9-Feb-19,1147,0.435535,0.00199
9-Feb-20,1147,0.433793,0.001987
9-Feb-21,1147,0.434556,0.001962
9-Feb-22,1147,0.432467,0.001979
9-Feb-23,1147,0.439658,0.002026
9-Feb-24,1147,0.437872,0.002051
9-Feb-25,1147,0.434206,0.001969
9-Feb-26,1147,0.436311,0.002034
9-Feb-27,1147,0.442037,0.00211
9-Feb-28,1147,0.43011,0.002067
9-Mar-01,1147,0.422834,0.002053
9-Mar-02,1147,0.411614,0.002083
9-Mar-03,1147,0.424484,0.002066
9-Mar-04,1147,0.432367,0.002063
9-Mar-05,1147,0.435553,0.001976
9-Mar-06,1147,0.435144,0.002033
9-Mar-07,1147,0.422396,0.001917
9-Mar-08,1147,0.414124,0.001892
9-Mar-09,1147,0.424497,0.001908
9-Mar-10,1147,0.428943,0.001962
9-Mar-11,1147,0.426121,0.001983
9-Mar-12,1147,0.425874,0.001942
9-Mar-13,1147,0.423401,0.002034
9-Mar-14,1147,0.431458,0.001966
9-Mar-15,1147,0.399073,0.001965
9-Mar-16,1147,0.426237,0.00197
9-Mar-17,1147,0.438674,0.001929
9-Mar-18,1147,0.429301,0.001944
9-Mar-19,1147,0.42742,0.002026
9-Mar-20,1147,0.422416,0.002072
9-Mar-21,1147,0.437974,0.001982
9-Mar-22,1147,0.436842,0.001979
9-Mar-23,1147,0.410915,0.00213
9-Mar-24,1147,0.41684,0.001986
9-Mar-25,1147,0.41102,0.001993
9-Mar-26,1147,0.407132,0.001965
9-Mar-27,1147,0.4167,0.002028
9-Mar-28,1147,0.411239,0.001969
9-Mar-29,1147,0.411479,0.001957
