YYMMMDD,u0(m),____up(m),sig_u(m)
10-Jul-09,892,0.881101,0.002135
10-Jul-10,892,0.884229,0.002014
10-Jul-11,892,0.881839,0.002029
10-Jul-12,892,0.892342,0.002052
10-Jul-13,892,0.894043,0.002052
10-Jul-14,892,0.896411,0.001996
10-Jul-15,892,0.887274,0.001982
10-Jul-16,892,0.889072,0.001999
10-Jul-17,892,0.882071,0.002053
10-Jul-18,892,0.885756,0.002034
10-Jul-19,892,0.887721,0.002021
10-Jul-20,892,0.887986,0.002008
10-Jul-21,892,0.879484,0.002015
10-Jul-22,892,0.880264,0.002006
10-Jul-23,892,0.885624,0.001982
10-Jul-24,892,0.882938,0.001984
10-Jul-25,892,0.88884,0.001998
10-Jul-26,892,0.883021,0.002014
10-Jul-27,892,0.894751,0.001964
10-Jul-28,892,0.886701,0.001967
10-Jul-29,892,0.883401,0.002023
10-Jul-30,892,0.871128,0.002024
10-Jul-31,892,0.872533,0.001993
10-Aug-01,892,0.867997,0.001987
10-Aug-02,892,0.889392,0.001991
10-Aug-03,892,0.884227,0.002088
10-Aug-04,892,0.876793,0.00209
10-Aug-05,892,0.884027,0.002082
10-Aug-06,892,0.895318,0.001983
10-Aug-07,892,0.890888,0.00198
10-Aug-08,892,0.866011,0.001937
10-Aug-09,892,0.877344,0.001972
10-Aug-10,892,0.883914,0.002021
10-Aug-11,892,0.884632,0.001973
10-Aug-12,892,0.881064,0.001989
10-Aug-13,892,0.880892,0.001977
10-Aug-14,892,0.880652,0.00197
10-Aug-15,892,0.88674,0.002023
10-Aug-16,892,0.885346,0.002025
10-Aug-17,892,0.891511,0.002037
10-Aug-18,892,0.883093,0.001963
10-Aug-19,892,0.873502,0.002073
10-Aug-20,892,0.887766,0.002027
10-Aug-21,892,0.88719,0.001976
10-Aug-22,892,0.873234,0.002003
10-Aug-23,892,0.880973,0.00198
10-Aug-24,892,0.877709,0.00202
10-Aug-25,892,0.886543,0.002005
10-Aug-26,892,0.891071,0.002038
10-Aug-27,892,0.890666,0.002172
10-Aug-28,892,0.88848,0.001985
10-Aug-29,892,0.881809,0.001964
10-Aug-30,892,0.883734,0.002011
10-Aug-31,892,0.875224,0.001989
10-Sep-01,892,0.886645,0.001969
10-Sep-02,892,0.893547,0.001957
10-Sep-03,892,0.885364,0.002026
10-Sep-04,892,0.878385,0.001997
10-Sep-05,892,0.872267,0.00197
10-Sep-06,892,0.880964,0.001981
10-Sep-07,892,0.8874,0.00192
10-Sep-08,892,0.885786,0.001974
10-Sep-09,892,0.884554,0.002006
10-Sep-10,892,0.887064,0.001932
10-Sep-11,892,0.882582,0.001989
10-Sep-12,892,0.879593,0.002019
10-Sep-13,892,0.87638,0.001946
10-Sep-14,892,0.890323,0.001999
10-Sep-15,892,0.885147,0.001927
10-Sep-16,892,0.882967,0.001928
10-Sep-17,892,0.871111,0.001935
10-Sep-18,892,0.893162,0.001924
10-Sep-19,892,0.887428,0.001976
10-Sep-20,892,0.879251,0.001988
10-Sep-21,892,0.894261,0.002038
10-Sep-22,892,0.879982,0.002034
10-Sep-23,892,0.883525,0.001964
10-Sep-24,892,0.890729,0.001977
10-Sep-25,892,0.892056,0.00197
10-Sep-26,892,0.89189,0.001957
10-Sep-27,892,0.887706,0.002002
10-Sep-28,892,0.880584,0.001981
10-Sep-29,892,0.899285,0.002063
10-Sep-30,892,0.894574,0.002006
10-Oct-01,892,0.89929,0.001997
10-Oct-02,892,0.890645,0.001958
10-Oct-03,892,0.891352,0.001997
10-Oct-04,892,0.892937,0.002029
10-Oct-05,892,0.898894,0.001968
10-Oct-06,892,0.901669,0.001932
10-Oct-07,892,0.893903,0.001927
10-Oct-08,892,0.899367,0.001944
10-Oct-09,892,0.887343,0.001968
10-Oct-10,892,0.893796,0.001932
10-Oct-11,892,0.871916,0.001921
10-Oct-12,892,0.883919,0.001948
10-Oct-13,892,0.895392,0.001916
10-Oct-14,892,0.890111,0.001983
10-Oct-15,892,0.886043,0.001994
10-Oct-16,892,0.89357,0.001897
10-Oct-17,892,0.88845,0.001918
10-Oct-18,892,0.888513,0.001939
10-Oct-19,892,0.886771,0.00195
10-Oct-20,892,0.899745,0.001949
10-Oct-21,892,0.890885,0.001948
10-Oct-22,892,0.886855,0.001917
10-Oct-23,892,0.8935,0.00191
10-Oct-24,892,0.899582,0.00194
10-Oct-25,892,0.892399,0.001994
10-Oct-26,892,0.893798,0.001939
10-Oct-27,892,0.884555,0.001968
10-Oct-28,892,0.88399,0.002002
